Designator,Footprint,Qty,Value,LCSC Part #,Unit Price (USD),Ext. Price (USD)
"C1, C29, C30, C31",0402,4,1uF,C52923,0.005,0.02
"C10, C16, C19, C20, C21, C22, C24, C25, C26, C27, C37",0201,11,100nF,C76934,0.002,0.02
"C11, C2, C6, C9",0603,4,10uF,C19702,0.016,0.06
"C12, C13, C14",0805,3,22uF,C45783,0.058,0.18
C15,0603,1,2.2uF,C23630,0.009,0.01
"C17, C18",0402,2,22uF,C415703,0.088,0.18
C23,0201,1,2.2uF,C318539,0.014,0.01
C28,0402,1,100nF,C1525,0.002,0.01
C3,0402,1,44uF*,C19702,0.016,0.02
"C32, C4",0201,2,10uF,(DigiKey),~0.020,0.04
"C33, C34",0201,2,20pF,C325444,0.002,0.01
"C35, C36",0201,2,6.8pF,C85916,0.002,0.01
C5,0402,1,47nF,C82219,0.003,0.01
"C7, C8",0805,2,10uF,C440198,0.038,0.08
CARD1,TF-SMD_TF-01A,1,TF-01A microSD,C91145,0.190,0.19
D1,0402,1,LED,C965793,0.008,0.01
J1,TerminalBlock 2P P2.54mm,1,Screw Terminal,(DigiKey 282834-2),1.870,1.87
"J2, J3",PinHeader 1x03 P2.54mm,2,Conn_01x03,(DigiKey),~0.100,0.20
L1,L2520,1,1uH,C435392,0.450,0.45
L2,IND-SMD L4.0xW4.0,1,1.5uH,C3033018,1.370,1.37
L3,IND-SMD L3.0xW3.0,1,5.6uH,C18236327,0.560,0.56
L4,L0603,1,600R ferrite,C141723,~0.150,0.15
"R1, R2",0201,2,5.1k,C270344,0.001,0.01
R10,0201,1,383,(DigiKey),0.034,0.03
"R11, R12, R13, R16-R22, R3-R7",0201,15,10K,C7467266,0.001,0.02
R14,0402,1,100K,C25741,~0.005,0.01
R15,0201,1,22.1K,C384418,~0.010,0.01
R8,0201,1,5.23K,C332546,0.011,0.01
R9,0201,1,30.1K,(DigiKey),0.034,0.03
"SW1, SW2",SW-SMD L3.9xW3.0,2,TS-1088-AR02016,C720477,~0.120,0.24
U1,LGA-10 BMP580,1,BMP580 baro,C22391138,~2.500,2.50
U2,LQFP-64,1,STM32F722RETx,C118207,4.160,4.16
U3,LGA-14,1,ICM-45686 IMU,C22459454,9.760,9.76
U4,VQFN-15,1,TPS63070RNMR,C109322,~3.500,3.50
U5,VFQFPN-24,1,BQ25883RGER,C544362,~2.800,2.80
U6,SOT-23-6,1,LMR51430,C5219261,~0.550,0.55
USB1,USB-C 16P 2MD,1,Type-C,C2765186,~0.400,0.40
X1,CRYSTAL-SMD 4P,1,X322525MOB4SI 25MHz,C9006,~0.350,0.35
X2,FC-135R,1,Q13FC1350000400 32.768kHz,C32346,~0.300,0.30
,,,,,Component subtotal,30.43

**Component subtotal (per board): ≈ $30.43**

### Full Prototype Cost (JLCPCB, 2-board minimum run)

| Item | Cost (USD) |
|---|---|
| PCB | $18.46 |
| Setup fee | $25.56 |
| Stencil | $8.21 |
| Components (32 items, ×2 boards) | $62.66 |
| Feeder loading fee | $48.96 |
| SMT assembly | $1.85 |
| X-ray inspection | $6.56 |
| Packaging | $0.49 |
| **Total (before shipping)** | **$172.75** |
| **Total (delivered, est.)** | **~$200** |

> **Note on scaling:** This is a *prototype-run* cost, not a per-unit cost. Roughly **$82.73** of the total is one-time non-recurring engineering/setup — setup fee ($25.56), stencil ($8.21), and feeder loading ($48.96) — which does not repeat on follow-up orders. The two-board minimum is why the $62.66 component line is ~2× the $30.43 per-board BOM subtotal above. The marginal cost of additional boards is substantially lower once the line is set up.
