Designator,Mid X,Mid Y,Rotation,Layer
C1,106.53558,-82.618134,270.0,top
C10,115.138168,-61.436919,270.0,top
C11,113.130914,-53.040341,0.0,top
C12,113.2,-58.775498,0.0,top
C13,113.25,-56.775498,0.0,top
C14,113.25,-54.775498,0.0,top
C15,105.288394,-72.200349,180.0,top
C16,107.233992,-67.654318,0.0,top
C17,98.191503,-69.690853,270.0,top
C18,99.138067,-69.686978,270.0,top
C19,100.901561,-74.062801,0.0,top
C2,106.53558,-80.638134,90.0,top
C20,99.242567,-74.750128,180.0,top
C21,80.78771,-85.822061,0.0,top
C22,83.128973,-85.136868,270.0,top
C23,85.186656,-81.832883,270.0,top
C24,87.456416,-66.193783,90.0,top
C25,89.483401,-66.197467,90.0,top
C26,86.397603,-82.424813,180.0,top
C27,96.776839,-74.982501,0.0,top
C28,79.77,-72.074257,0.0,top
C29,88.508153,-65.966854,90.0,top
C3,108.52,-77.618134,180.0,top
C30,86.251193,-83.248592,180.0,top
C31,81.2,-78.32,270.0,top
C32,96.745,-74.2,0.0,top
C33,78.917233,-67.754034,135.0,top
C34,82.829723,-64.696447,315.0,top
C35,86.813315,-61.936293,90.0,top
C36,84.323755,-61.953333,90.0,top
C37,81.935595,-54.319743,270.0,top
C4,111.05558,-78.118134,0.0,top
C5,112.325216,-79.271837,270.0,top
C6,113.160292,-80.383288,90.0,top
C7,113.30792,-67.596009,0.0,top
C8,113.250188,-65.615899,0.0,top
C9,113.33819,-69.321983,0.0,top
CARD1,97.074678,-54.66951,180.0,top
D1,108.708973,-85.216072,270.0,top
J1,114.838179,-74.396894,90.0,top
J2,110.274884,-45.996887,270.0,top
J3,110.272482,-50.014405,270.0,top
L1,104.53558,-79.948134,90.0,top
L2,109.25,-62.275498,270.0,top
L3,102.446026,-69.766307,0.0,top
L4,80.084172,-71.094496,180.0,top
R1,95.90674,-81.547267,0.0,top
R10,113.18413,-82.359629,180.0,top
R11,113.18413,-81.653213,180.0,top
R12,115.25,-63.620498,270.0,top
R13,115.494732,-62.516517,0.0,top
R14,107.742843,-72.723491,0.0,top
R15,107.92,-71.8,180.0,top
R16,97.028392,-62.309387,90.0,top
R17,95.93841,-62.318948,90.0,top
R18,94.829304,-62.319743,90.0,top
R19,102.534678,-62.253971,90.0,top
R2,100.253636,-81.509041,180.0,top
R20,101.513492,-62.260173,90.0,top
R21,99.265725,-62.309387,90.0,top
R22,84.261209,-58.371109,180.0,top
R3,99.967326,-77.14444,0.0,top
R4,98.88,-76.05256,0.0,top
R5,92.761923,-68.19756,270.0,top
R6,108.731207,-86.844965,270.0,top
R7,113.543695,-83.415176,270.0,top
R8,115.043844,-82.733648,270.0,top
R9,112.837279,-83.418328,270.0,top
SW1,80.086932,-54.374436,270.0,top
SW2,84.586932,-54.374436,270.0,top
U1,100.96138,-75.696474,0.0,top
U2,88.5,-74.5,225.0,top
U3,81.0,-84.0,0.0,top
U4,113.25,-62.275498,90.0,top
U5,109.78558,-81.618134,0.0,top
U6,107.298611,-69.720535,180.0,top
USB1,97.865424,-84.929168,0.0,top
X1,80.878858,-66.323223,225.0,top
X2,85.618375,-63.731726,180.0,top
